customer_id,gender,age,loyalty_status,signup_channel,city
10000,Female,67.0,Gold,Online,Hyderabad
10001,Male,42.0,Bronze,Store,Delhi
10002,Female,20.0,Silver,Mobile,Mumbai
10003,Female,18.0,Silver,Mobile,Pune
10004,Male,40.0,Bronze,Mobile,Hyderabad
10005,Male,60.0,Silver,Mobile,Delhi
10006,Female,22.0,Bronze,Mobile,Chandigarh
10007,Male,48.0,Silver,Online,Chandigarh
10008,Male,42.0,Gold,Mobile,Jaipur
10009,Female,52.0,Bronze,Online,Bangalore
10010,Male,60.0,Gold,Store,Mumbai
10011,Male,18.0,Silver,Store,Hyderabad
10012,Female,32.0,Bronze,Mobile,Delhi
10013,Female,56.0,Silver,Store,Bangalore
10014,Male,41.0,Silver,Online,Chandigarh
10015,Male,51.0,Gold,Mobile,Bangalore
10016,Female,64.0,None,Mobile,Delhi
10017,Male,35.0,None,Online,Pune
10018,Male,42.0,Silver,Store,Mumbai
10019,Male,53.0,Gold,Online,Delhi
10020,Female,18.0,Silver,Mobile,Pune
10021,Male,26.0,Bronze,Store,Jaipur
10022,Male,58.0,Bronze,Mobile,Hyderabad
10023,Female,48.0,Silver,Store,Hyderabad
10024,Male,39.0,None,Online,Delhi
10025,Male,55.0,Bronze,Online,Delhi
10026,Female,63.0,Bronze,Mobile,Bangalore
10027,Female,58.0,Bronze,Store,Chandigarh
10028,Female,19.0,Bronze,Store,Mumbai
10029,Female,58.0,Gold,Store,Hyderabad
10030,Male,62.0,Gold,Mobile,Delhi
10031,Male,69.0,None,Store,Hyderabad
10032,Female,37.0,None,Online,Bangalore
10033,Female,40.0,Bronze,Mobile,Hyderabad
10034,Male,29.0,None,Online,Pune
10035,Female,27.0,Bronze,Mobile,Mumbai
10036,Male,49.0,Bronze,Store,Mumbai
10037,Female,22.0,Bronze,Mobile,Delhi
10038,Male,61.0,Silver,Mobile,Delhi
10039,Female,46.0,Gold,Store,Hyderabad
10040,Female,50.0,Gold,Mobile,Jaipur
10041,Male,40.0,Silver,Online,Delhi
10042,Female,53.0,Gold,Online,Pune
10043,Male,30.0,Bronze,Mobile,Delhi
10044,Male,67.0,Bronze,Mobile,Pune
10045,Male,19.0,Silver,Mobile,Hyderabad
10046,Male,28.0,Gold,Store,Hyderabad
10047,Male,45.0,Gold,Online,Delhi
10048,Female,42.0,Silver,Mobile,Chandigarh
10049,Female,53.0,Bronze,Online,Jaipur
10050,Male,35.0,Gold,Online,Hyderabad
10051,Female,56.0,None,Online,Chandigarh
10052,Male,26.0,Bronze,Store,Chandigarh
10053,Female,19.0,Bronze,Mobile,Chandigarh
10054,Female,53.0,Silver,Store,Bangalore
10055,Female,63.0,Silver,Mobile,Mumbai
10056,Female,34.0,Bronze,Online,Bangalore
10057,Male,50.0,Bronze,Online,Chandigarh
10058,Male,52.0,None,Store,Hyderabad
10059,Female,50.0,Gold,Online,Jaipur
10060,Female,49.0,Bronze,Mobile,Chandigarh
10061,Male,37.0,None,Online,Bangalore
10062,Female,47.0,Bronze,Store,Delhi
10063,Male,39.0,None,Online,Hyderabad
10064,Male,42.0,Bronze,Mobile,Bangalore
10065,Male,62.0,Gold,Online,Hyderabad
10066,Female,63.0,Bronze,Online,Mumbai
10067,Male,61.0,Bronze,Mobile,Bangalore
10068,Female,28.0,Silver,Mobile,Bangalore
10069,Male,67.0,Gold,Online,Pune
10070,Female,51.0,Bronze,Mobile,Jaipur
10071,Female,45.0,Bronze,Online,Hyderabad
10072,Female,52.0,None,Store,Jaipur
10073,Male,21.0,Gold,Online,Pune
10074,Male,26.0,None,Online,Bangalore
10075,Female,60.0,Gold,Mobile,Bangalore
10076,Female,39.0,None,Mobile,Pune
10077,Female,42.0,Silver,Online,Chandigarh
10078,Male,38.0,Bronze,Mobile,Delhi
10079,Male,42.0,Silver,Store,Chandigarh
10080,Male,58.0,None,Online,Jaipur
10081,Male,34.0,Silver,Store,Jaipur
10082,Female,32.0,None,Mobile,Chandigarh
10083,Female,58.0,Bronze,Mobile,Pune
10084,Male,24.0,Silver,Store,Pune
