product_id,store_id,stock_on_hand,reorder_level,last_updated
1000,58,153,34,2026-03-13 11:27:51.328660
1000,68,76,25,2026-03-13 11:27:51.328669
1000,52,338,65,2026-03-13 11:27:51.328672
1000,91,137,41,2026-03-13 11:27:51.328674
1000,49,213,93,2026-03-13 11:27:51.328676
1001,45,24,92,2026-03-13 11:27:51.328719
1001,50,229,88,2026-03-13 11:27:51.328721
1001,59,47,43,2026-03-13 11:27:51.328722
1001,62,15,62,2026-03-13 11:27:51.328724
1001,57,303,67,2026-03-13 11:27:51.328726
1002,20,256,65,2026-03-13 11:27:51.328750
1002,29,368,81,2026-03-13 11:27:51.328752
1002,15,133,42,2026-03-13 11:27:51.328754
1002,1,258,28,2026-03-13 11:27:51.328756
1002,8,43,43,2026-03-13 11:27:51.328758
1003,71,268,45,2026-03-13 11:27:51.328779
1003,72,246,52,2026-03-13 11:27:51.328781
1003,65,261,42,2026-03-13 11:27:51.328782
1003,27,430,30,2026-03-13 11:27:51.328784
1003,45,384,21,2026-03-13 11:27:51.328786
1004,84,439,15,2026-03-13 11:27:51.328806
1004,9,405,50,2026-03-13 11:27:51.328807
1004,82,475,66,2026-03-13 11:27:51.328815
1004,59,122,40,2026-03-13 11:27:51.328817
1004,2,84,12,2026-03-13 11:27:51.328818
1005,20,184,73,2026-03-13 11:27:51.328873
1005,39,238,20,2026-03-13 11:27:51.328876
1005,81,51,56,2026-03-13 11:27:51.328877
1005,65,82,41,2026-03-13 11:27:51.328879
1005,94,389,50,2026-03-13 11:27:51.328884
1006,68,382,52,2026-03-13 11:27:51.328905
1006,83,137,79,2026-03-13 11:27:51.328906
1006,14,361,57,2026-03-13 11:27:51.328908
1006,91,493,61,2026-03-13 11:27:51.328910
1006,64,6,66,2026-03-13 11:27:51.328912
1007,16,300,21,2026-03-13 11:27:51.328929
1007,57,36,93,2026-03-13 11:27:51.328931
1007,48,493,61,2026-03-13 11:27:51.328932
1007,17,248,66,2026-03-13 11:27:51.328934
1007,83,60,99,2026-03-13 11:27:51.328936
1008,42,313,67,2026-03-13 11:27:51.328956
1008,94,166,73,2026-03-13 11:27:51.328959
1008,92,298,11,2026-03-13 11:27:51.328960
1008,66,467,99,2026-03-13 11:27:51.328962
1008,49,53,55,2026-03-13 11:27:51.328963
1009,28,372,24,2026-03-13 11:27:51.328980
1009,69,75,98,2026-03-13 11:27:51.328982
1009,88,246,36,2026-03-13 11:27:51.328984
1009,60,105,43,2026-03-13 11:27:51.328985
1009,57,236,74,2026-03-13 11:27:51.328987
1010,77,155,25,2026-03-13 11:27:51.329005
1010,9,439,61,2026-03-13 11:27:51.329007
1010,28,261,18,2026-03-13 11:27:51.329008
1010,3,403,43,2026-03-13 11:27:51.329010
1010,71,399,12,2026-03-13 11:27:51.329011
1011,73,421,31,2026-03-13 11:27:51.329030
1011,12,61,62,2026-03-13 11:27:51.329031
1011,20,90,54,2026-03-13 11:27:51.329033
1011,89,252,71,2026-03-13 11:27:51.329036
1011,100,11,43,2026-03-13 11:27:51.329038
1012,98,73,42,2026-03-13 11:27:51.329057
1012,5,155,62,2026-03-13 11:27:51.329058
1012,60,33,56,2026-03-13 11:27:51.329060
1012,34,104,92,2026-03-13 11:27:51.329062
1012,49,111,63,2026-03-13 11:27:51.329063
1013,64,398,79,2026-03-13 11:27:51.329084
1013,7,387,14,2026-03-13 11:27:51.329086
1013,36,367,20,2026-03-13 11:27:51.329087
1013,33,185,91,2026-03-13 11:27:51.329089
1013,26,355,66,2026-03-13 11:27:51.329090
1014,56,31,31,2026-03-13 11:27:51.329108
1014,98,445,82,2026-03-13 11:27:51.329109
1014,15,478,27,2026-03-13 11:27:51.329111
1014,31,138,57,2026-03-13 11:27:51.329113
1014,49,0,86,2026-03-13 11:27:51.329114
1015,35,392,46,2026-03-13 11:27:51.329131
1015,91,127,53,2026-03-13 11:27:51.329133
1015,45,345,80,2026-03-13 11:27:51.329135
1015,62,488,36,2026-03-13 11:27:51.329137
1015,43,26,41,2026-03-13 11:27:51.329138
1016,44,173,19,2026-03-13 11:27:51.329156
1016,84,366,35,2026-03-13 11:27:51.329158
1016,50,218,100,2026-03-13 11:27:51.329159
1016,31,296,94,2026-03-13 11:27:51.329161
1016,14,438,39,2026-03-13 11:27:51.329162
1017,42,99,29,2026-03-13 11:27:51.329179
1017,92,7,11,2026-03-13 11:27:51.329181
1017,35,443,79,2026-03-13 11:27:51.329183
1017,36,404,23,2026-03-13 11:27:51.329184
1017,84,64,69,2026-03-13 11:27:51.329186
1018,51,-5,99,2026-03-13 11:27:51.329203
1018,54,19,44,2026-03-13 11:27:51.329204
1018,2,422,25,2026-03-13 11:27:51.329206
1018,88,13,91,2026-03-13 11:27:51.329209
1018,23,287,26,2026-03-13 11:27:51.329210
1019,36,54,53,2026-03-13 11:27:51.329227
1019,65,309,65,2026-03-13 11:27:51.329229
1019,20,169,71,2026-03-13 11:27:51.329230
1019,54,470,58,2026-03-13 11:27:51.329232
1019,62,353,62,2026-03-13 11:27:51.329233
1020,74,6,92,2026-03-13 11:27:51.329250
1020,11,479,95,2026-03-13 11:27:51.329252
1020,96,-5,39,2026-03-13 11:27:51.329254
1020,36,85,74,2026-03-13 11:27:51.329255
1020,93,295,52,2026-03-13 11:27:51.329259
1021,100,215,54,2026-03-13 11:27:51.329277
1021,18,214,53,2026-03-13 11:27:51.329278
1021,21,485,97,2026-03-13 11:27:51.329282
1021,51,382,43,2026-03-13 11:27:51.329290
1021,13,81,85,2026-03-13 11:27:51.329293
1022,39,107,41,2026-03-13 11:27:51.329310
1022,16,220,43,2026-03-13 11:27:51.329312
1022,60,350,36,2026-03-13 11:27:51.329314
1022,15,342,96,2026-03-13 11:27:51.329315
1022,99,181,84,2026-03-13 11:27:51.329317
1023,78,348,98,2026-03-13 11:27:51.329335
1023,83,292,42,2026-03-13 11:27:51.329336
1023,39,174,80,2026-03-13 11:27:51.329338
1023,30,438,89,2026-03-13 11:27:51.329339
1023,93,272,47,2026-03-13 11:27:51.329341
1024,4,192,28,2026-03-13 11:27:51.329358
1024,6,10,68,2026-03-13 11:27:51.329360
1024,98,209,56,2026-03-13 11:27:51.329362
1024,53,317,13,2026-03-13 11:27:51.329363
1024,85,75,10,2026-03-13 11:27:51.329365
1025,91,344,33,2026-03-13 11:27:51.329383
1025,47,310,69,2026-03-13 11:27:51.329384
1025,64,343,29,2026-03-13 11:27:51.329386
1025,23,345,95,2026-03-13 11:27:51.329388
1025,96,19,50,2026-03-13 11:27:51.329389
1026,35,423,16,2026-03-13 11:27:51.329407
1026,33,112,49,2026-03-13 11:27:51.329409
1026,34,338,70,2026-03-13 11:27:51.329410
1026,70,289,26,2026-03-13 11:27:51.329412
1026,71,44,54,2026-03-13 11:27:51.329414
1027,49,0,28,2026-03-13 11:27:51.329431
1027,55,60,82,2026-03-13 11:27:51.329432
1027,34,23,87,2026-03-13 11:27:51.329434
1027,7,411,96,2026-03-13 11:27:51.329436
1027,80,25,28,2026-03-13 11:27:51.329437
1028,46,165,59,2026-03-13 11:27:51.329454
1028,11,51,11,2026-03-13 11:27:51.329456
1028,97,138,77,2026-03-13 11:27:51.329457
1028,15,496,28,2026-03-13 11:27:51.329459
1028,57,370,32,2026-03-13 11:27:51.329460
1029,57,489,11,2026-03-13 11:27:51.329478
1029,77,463,39,2026-03-13 11:27:51.329479
1029,88,459,11,2026-03-13 11:27:51.329481
1029,100,160,75,2026-03-13 11:27:51.329483
1029,20,412,20,2026-03-13 11:27:51.329486
1030,47,85,16,2026-03-13 11:27:51.329504
1030,28,20,11,2026-03-13 11:27:51.329505
1030,3,-5,40,2026-03-13 11:27:51.329507
1030,68,312,39,2026-03-13 11:27:51.329509
1030,69,351,95,2026-03-13 11:27:51.329510
1031,88,432,91,2026-03-13 11:27:51.329527
1031,21,126,65,2026-03-13 11:27:51.329529
1031,17,126,20,2026-03-13 11:27:51.329531
1031,19,7,10,2026-03-13 11:27:51.329532
1031,62,138,32,2026-03-13 11:27:51.329534
1032,35,42,65,2026-03-13 11:27:51.329550
1032,94,55,24,2026-03-13 11:27:51.329552
1032,13,224,30,2026-03-13 11:27:51.329554
1032,27,480,83,2026-03-13 11:27:51.329555
1032,88,423,43,2026-03-13 11:27:51.329557
1033,43,272,67,2026-03-13 11:27:51.329577
1033,9,119,72,2026-03-13 11:27:51.329579
1033,51,307,57,2026-03-13 11:27:51.330658
1033,97,392,23,2026-03-13 11:27:51.330667
1033,76,110,62,2026-03-13 11:27:51.330671
1034,84,364,51,2026-03-13 11:27:51.330741
1034,46,223,29,2026-03-13 11:27:51.330744
1034,79,211,100,2026-03-13 11:27:51.330747
1034,14,334,46,2026-03-13 11:27:51.330750
1034,91,198,40,2026-03-13 11:27:51.330753
1035,84,296,21,2026-03-13 11:27:51.330787
1035,51,102,44,2026-03-13 11:27:51.330790
1035,90,466,13,2026-03-13 11:27:51.330793
1035,91,477,99,2026-03-13 11:27:51.330797
1035,31,388,16,2026-03-13 11:27:51.330800
1036,59,444,11,2026-03-13 11:27:51.330832
1036,80,470,80,2026-03-13 11:27:51.330835
1036,24,361,61,2026-03-13 11:27:51.330838
1036,78,81,86,2026-03-13 11:27:51.330841
1036,1,333,73,2026-03-13 11:27:51.330844
1037,19,243,44,2026-03-13 11:27:51.330876
1037,83,308,91,2026-03-13 11:27:51.330879
1037,96,447,68,2026-03-13 11:27:51.330882
1037,78,352,92,2026-03-13 11:27:51.330885
1037,28,221,91,2026-03-13 11:27:51.330888
1038,61,141,85,2026-03-13 11:27:51.330919
1038,4,194,32,2026-03-13 11:27:51.330922
1038,12,320,68,2026-03-13 11:27:51.330932
1038,32,300,87,2026-03-13 11:27:51.330935
1038,8,112,17,2026-03-13 11:27:51.330938
1039,1,225,29,2026-03-13 11:27:51.330971
1039,38,210,88,2026-03-13 11:27:51.330974
1039,71,343,40,2026-03-13 11:27:51.330977
1039,63,415,35,2026-03-13 11:27:51.330980
1039,64,318,10,2026-03-13 11:27:51.330983
1040,14,410,57,2026-03-13 11:27:51.331014
1040,65,401,11,2026-03-13 11:27:51.331018
1040,79,196,61,2026-03-13 11:27:51.331021
1040,77,43,19,2026-03-13 11:27:51.331024
1040,34,148,79,2026-03-13 11:27:51.331027
1041,52,455,51,2026-03-13 11:27:51.331067
1041,55,25,30,2026-03-13 11:27:51.331070
1041,92,199,26,2026-03-13 11:27:51.331073
1041,66,168,35,2026-03-13 11:27:51.331076
1041,98,273,72,2026-03-13 11:27:51.331079
1042,2,435,24,2026-03-13 11:27:51.331114
1042,27,143,91,2026-03-13 11:27:51.331117
1042,91,256,24,2026-03-13 11:27:51.331120
1042,42,140,90,2026-03-13 11:27:51.331123
1042,95,360,70,2026-03-13 11:27:51.331126
1043,51,385,42,2026-03-13 11:27:51.331157
1043,58,108,16,2026-03-13 11:27:51.331161
1043,64,378,83,2026-03-13 11:27:51.331164
1043,9,449,37,2026-03-13 11:27:51.331167
1043,75,301,32,2026-03-13 11:27:51.331170
1044,67,26,52,2026-03-13 11:27:51.331201
1044,29,143,82,2026-03-13 11:27:51.331204
1044,26,368,88,2026-03-13 11:27:51.331208
1044,21,243,71,2026-03-13 11:27:51.331211
1044,53,490,30,2026-03-13 11:27:51.331214
1045,92,204,85,2026-03-13 11:27:51.331245
1045,2,378,41,2026-03-13 11:27:51.331248
1045,10,331,16,2026-03-13 11:27:51.331251
1045,13,343,76,2026-03-13 11:27:51.331254
1045,59,60,21,2026-03-13 11:27:51.331257
1046,48,480,64,2026-03-13 11:27:51.331295
1046,51,382,30,2026-03-13 11:27:51.331298
1046,26,205,67,2026-03-13 11:27:51.331301
1046,39,338,41,2026-03-13 11:27:51.331304
1046,62,412,14,2026-03-13 11:27:51.331307
1047,18,79,80,2026-03-13 11:27:51.331342
1047,92,126,15,2026-03-13 11:27:51.331345
1047,68,17,60,2026-03-13 11:27:51.331348
1047,85,75,47,2026-03-13 11:27:51.331351
1047,90,72,26,2026-03-13 11:27:51.331354
1048,4,109,36,2026-03-13 11:27:51.331386
1048,10,448,68,2026-03-13 11:27:51.331389
1048,51,58,97,2026-03-13 11:27:51.331392
1048,95,190,88,2026-03-13 11:27:51.331395
1048,72,460,66,2026-03-13 11:27:51.331398
1049,9,62,55,2026-03-13 11:27:51.331430
1049,61,272,60,2026-03-13 11:27:51.331433
